Disease,Symptoms,Medicines,Brand Names,Dosages,Prices (INR)
Common Cold,"Nausea, Joint pain, Itching, Cough","Ibuprofen, Amoxicillin","Augmentin, Brufen","500mg, 200mg","150, 20"
Cholera,"Sweating, Nausea, Itching, Cough","Paracetamol, Ciprofloxacin","Omez, Alerid","250mg, 100mg","30, 100"
Eye Infection,"Itching, Fever, Sweating, Vomiting","Omeprazole, Azithromycin","Brufen, Omez","5mg, 500mg","75, 30"
Diarrhea,"Joint pain, Sore throat, Rash, Pain","Paracetamol, Ranitidine","Flagyl, Brufen","1g, 5mg","200, 20"
COVID-19,"Cough, Itching, Fever, Pain","Loratadine, Cetirizine","Alerid, Omez","200mg, 250mg","150, 30"
Allergy,"Chest tightness, Nausea, Sore throat, Vomiting","Azithromycin, Ibuprofen","Zinetac, Crocin","500mg, 5mg","30, 75"
Alzheimer's,"Chills, Cough, Nausea, Joint pain","Ibuprofen, Ranitidine","Azithral, Alerid","250mg, 5mg","20, 150"
Anxiety,"Itching, Weight loss, Fatigue, Chills","Ciprofloxacin, Cetirizine","Azithral, Alerid","200mg, 100mg","50, 30"
Epilepsy,"Chest tightness, Joint pain, Sore throat, Vomiting","Cetirizine, Amoxicillin","Omez, Augmentin","250mg, 1g","75, 200"
Back Pain,"Sweating, Fever, Nausea, Sore throat","Azithromycin, Cetirizine","Ciplox, Brufen","5mg, 500mg","50, 20"
Gastritis,"Chest tightness, Sore throat, Headache, Fever","Metronidazole, Amoxicillin","Crocin, Claritine","1g, 100mg","150, 100"
Diarrhea,"Fatigue, Nausea, Sore throat, Itching","Ranitidine, Loratadine","Brufen, Omez","10mg, 500mg","75, 200"
Epilepsy,"Itching, Rash, Chills, Chest tightness","Metronidazole, Amoxicillin","Omez, Augmentin","5mg, 100mg","200, 150"
Common Cold,"Shortness of breath, Fatigue, Chills, Chest tightness","Amoxicillin, Azithromycin","Brufen, Alerid","200mg, 500mg","150, 20"
Constipation,"Dizziness, Chest tightness, Itching, Chills","Cetirizine, Amoxicillin","Ciplox, Brufen","5mg, 500mg","75, 50"
Indigestion,"Nausea, Chest tightness, Rash, Chills","Omeprazole, Amoxicillin","Crocin, Alerid","5mg, 500mg","75, 150"
Cholera,"Sweating, Shortness of breath, Vomiting, Joint pain","Metronidazole, Paracetamol","Brufen, Flagyl","5mg, 200mg","75, 20"
Hepatitis,"Pain, Sweating, Chills, Fatigue","Ranitidine, Amoxicillin","Ciplox, Claritine","200mg, 500mg","150, 20"
Indigestion,"Itching, Sore throat, Shortness of breath, Headache","Amoxicillin, Loratadine","Zinetac, Claritine","100mg, 500mg","75, 20"
Back Pain,"Itching, Chills, Dizziness, Chest tightness","Cetirizine, Loratadine","Omez, Zinetac","200mg, 500mg","20, 75"
Gout,"Dizziness, Fatigue, Chills, Headache","Paracetamol, Amoxicillin","Omez, Alerid","1g, 200mg","75, 100"
Indigestion,"Weight loss, Shortness of breath, Chills, Sweating","Loratadine, Cetirizine","Omez, Ciplox","5mg, 500mg","30, 75"
Eye Infection,"Fever, Itching, Dizziness, Sore throat","Ibuprofen, Paracetamol","Crocin, Brufen","5mg, 100mg","75, 20"
Diarrhea,"Vomiting, Headache, Shortness of breath, Cough","Ibuprofen, Paracetamol","Brufen, Ciplox","200mg, 1g","100, 30"
Indigestion,"Chills, Fatigue, Sweating, Dizziness","Azithromycin, Ranitidine","Flagyl, Alerid","5mg, 1g","50, 30"
Back Pain,"Dizziness, Cough, Chest tightness, Joint pain","Omeprazole, Amoxicillin","Omez, Zinetac","5mg, 100mg","30, 20"
Diarrhea,"Fever, Joint pain, Sweating, Nausea","Ciprofloxacin, Omeprazole","Brufen, Zinetac","100mg, 5mg","20, 100"
Dengue,"Dizziness, Pain, Weight loss, Fever","Amoxicillin, Metronidazole","Crocin, Augmentin","500mg, 10mg","50, 100"
Gout,"Weight loss, Fever, Headache, Fatigue","Cetirizine, Ranitidine","Crocin, Azithral","250mg, 10mg","50, 200"
Back Pain,"Weight loss, Dizziness, Fever, Sore throat","Ranitidine, Ibuprofen","Ciplox, Azithral","1g, 5mg","100, 20"
Depression,"Sore throat, Itching, Dizziness, Vomiting","Metronidazole, Paracetamol","Crocin, Claritine","10mg, 1g","50, 150"
Cholera,"Fever, Dizziness, Itching, Sore throat","Loratadine, Azithromycin","Zinetac, Ciplox","1g, 200mg","20, 30"
HIV,"Cough, Sore throat, Chills, Headache","Metronidazole, Paracetamol","Alerid, Augmentin","1g, 5mg","150, 200"
Ear Infection,"Vomiting, Weight loss, Fever, Headache","Ibuprofen, Metronidazole","Azithral, Augmentin","100mg, 1g","200, 100"
Gastritis,"Itching, Nausea, Joint pain, Sore throat","Paracetamol, Metronidazole","Augmentin, Crocin","200mg, 500mg","50, 20"
Anxiety,"Nausea, Vomiting, Cough, Sweating","Azithromycin, Ibuprofen","Ciplox, Alerid","1g, 200mg","150, 50"
Allergy,"Fatigue, Sweating, Itching, Shortness of breath","Ciprofloxacin, Ranitidine","Omez, Flagyl","100mg, 1g","30, 200"
Hepatitis,"Chills, Joint pain, Nausea, Fatigue","Metronidazole, Cetirizine","Alerid, Flagyl","500mg, 1g","150, 200"
COVID-19,"Fatigue, Vomiting, Pain, Headache","Metronidazole, Ibuprofen","Crocin, Flagyl","500mg, 10mg","75, 100"
Eye Infection,"Cough, Chest tightness, Fatigue, Shortness of breath","Ciprofloxacin, Metronidazole","Ciplox, Zinetac","100mg, 250mg","50, 100"
Diarrhea,"Headache, Cough, Chest tightness, Sweating","Ibuprofen, Ciprofloxacin","Crocin, Claritine","1g, 500mg","75, 20"
Chickenpox,"Shortness of breath, Rash, Joint pain, Headache","Paracetamol, Metronidazole","Brufen, Augmentin","200mg, 5mg","50, 20"
Chickenpox,"Chest tightness, Headache, Joint pain, Sweating","Ranitidine, Ibuprofen","Ciplox, Alerid","5mg, 200mg","150, 30"
Back Pain,"Fatigue, Cough, Headache, Pain","Loratadine, Azithromycin","Claritine, Alerid","200mg, 250mg","150, 100"
Insomnia,"Itching, Cough, Sweating, Rash","Ibuprofen, Omeprazole","Flagyl, Crocin","10mg, 100mg","100, 50"
Alzheimer's,"Rash, Sore throat, Chest tightness, Dizziness","Ranitidine, Omeprazole","Claritine, Zinetac","10mg, 200mg","200, 50"
Allergy,"Headache, Itching, Chest tightness, Rash","Metronidazole, Amoxicillin","Claritine, Augmentin","250mg, 1g","30, 200"
Ear Infection,"Shortness of breath, Chills, Fever, Sore throat","Ibuprofen, Azithromycin","Alerid, Omez","250mg, 100mg","150, 200"
Back Pain,"Chills, Vomiting, Nausea, Cough","Ibuprofen, Metronidazole","Claritine, Ciplox","250mg, 10mg","75, 20"
Cholera,"Pain, Chills, Nausea, Rash","Paracetamol, Metronidazole","Claritine, Brufen","100mg, 200mg","100, 150"
Depression,"Vomiting, Chills, Shortness of breath, Sweating","Ibuprofen, Paracetamol","Flagyl, Azithral","10mg, 1g","20, 50"
Anxiety,"Rash, Chills, Fever, Sore throat","Amoxicillin, Ciprofloxacin","Flagyl, Omez","250mg, 500mg","150, 50"
Bronchitis,"Cough, Pain, Sore throat, Joint pain","Metronidazole, Loratadine","Augmentin, Flagyl","250mg, 100mg","100, 30"
Glaucoma,"Nausea, Vomiting, Rash, Chills","Ibuprofen, Paracetamol","Brufen, Alerid","1g, 10mg","100, 75"
Anxiety,"Itching, Pain, Chills, Vomiting","Amoxicillin, Omeprazole","Crocin, Augmentin","1g, 10mg","100, 50"
Chickenpox,"Dizziness, Sweating, Itching, Vomiting","Ibuprofen, Azithromycin","Brufen, Augmentin","100mg, 10mg","50, 75"
Ear Infection,"Weight loss, Pain, Fever, Vomiting","Paracetamol, Amoxicillin","Zinetac, Ciplox","200mg, 10mg","50, 30"
COVID-19,"Sore throat, Shortness of breath, Weight loss, Dizziness","Loratadine, Ranitidine","Omez, Claritine","10mg, 200mg","50, 20"
Gout,"Fatigue, Joint pain, Chest tightness, Sore throat","Ibuprofen, Ciprofloxacin","Crocin, Ciplox","100mg, 250mg","150, 30"
Alzheimer's,"Sore throat, Cough, Vomiting, Shortness of breath","Paracetamol, Azithromycin","Flagyl, Ciplox","100mg, 500mg","75, 20"
HIV,"Nausea, Vomiting, Pain, Headache","Ranitidine, Ciprofloxacin","Flagyl, Brufen","250mg, 1g","100, 20"
Indigestion,"Cough, Nausea, Weight loss, Headache","Ciprofloxacin, Ranitidine","Claritine, Ciplox","250mg, 5mg","30, 50"
Acne,"Fatigue, Chills, Headache, Shortness of breath","Ibuprofen, Ranitidine","Flagyl, Alerid","5mg, 250mg","75, 100"
Glaucoma,"Sore throat, Weight loss, Itching, Shortness of breath","Paracetamol, Ibuprofen","Brufen, Zinetac","5mg, 200mg","200, 50"
Epilepsy,"Chest tightness, Rash, Dizziness, Headache","Loratadine, Azithromycin","Flagyl, Azithral","5mg, 200mg","200, 75"
Acne,"Shortness of breath, Itching, Nausea, Chest tightness","Azithromycin, Ibuprofen","Azithral, Zinetac","200mg, 1g","200, 150"
Bronchitis,"Headache, Weight loss, Sweating, Vomiting","Cetirizine, Ranitidine","Augmentin, Ciplox","200mg, 5mg","150, 30"
Ear Infection,"Weight loss, Itching, Chest tightness, Vomiting","Azithromycin, Paracetamol","Omez, Azithral","5mg, 250mg","200, 100"
Gout,"Sore throat, Joint pain, Chills, Weight loss","Paracetamol, Cetirizine","Augmentin, Ciplox","10mg, 250mg","100, 200"
Indigestion,"Fatigue, Sweating, Nausea, Vomiting","Loratadine, Amoxicillin","Ciplox, Zinetac","200mg, 1g","50, 75"
Glaucoma,"Dizziness, Chest tightness, Fever, Sore throat","Cetirizine, Amoxicillin","Flagyl, Augmentin","100mg, 1g","75, 100"
Gout,"Shortness of breath, Sore throat, Cough, Dizziness","Amoxicillin, Ibuprofen","Brufen, Augmentin","1g, 100mg","75, 200"
Alzheimer's,"Weight loss, Headache, Vomiting, Sore throat","Ciprofloxacin, Cetirizine","Zinetac, Brufen","250mg, 10mg","50, 30"
Epilepsy,"Itching, Dizziness, Chills, Pain","Ibuprofen, Amoxicillin","Azithral, Ciplox","1g, 100mg","30, 75"
Gastritis,"Fever, Chest tightness, Headache, Shortness of breath","Paracetamol, Metronidazole","Zinetac, Alerid","1g, 5mg","30, 150"
Acne,"Chills, Nausea, Fever, Fatigue","Metronidazole, Azithromycin","Augmentin, Zinetac","5mg, 500mg","20, 75"
Ear Infection,"Headache, Vomiting, Sore throat, Weight loss","Cetirizine, Metronidazole","Alerid, Brufen","10mg, 100mg","20, 30"
Cholera,"Weight loss, Vomiting, Pain, Chills","Loratadine, Paracetamol","Augmentin, Omez","100mg, 500mg","200, 50"
Common Cold,"Chest tightness, Headache, Rash, Sweating","Cetirizine, Metronidazole","Augmentin, Azithral","200mg, 1g","150, 20"
Ear Infection,"Nausea, Fever, Chest tightness, Rash","Loratadine, Cetirizine","Claritine, Alerid","200mg, 500mg","20, 200"
Glaucoma,"Chills, Dizziness, Cough, Chest tightness","Paracetamol, Metronidazole","Ciplox, Crocin","200mg, 100mg","75, 20"
Insomnia,"Weight loss, Nausea, Fever, Sweating","Paracetamol, Ciprofloxacin","Azithral, Alerid","10mg, 5mg","20, 30"
Allergy,"Chills, Chest tightness, Joint pain, Weight loss","Ibuprofen, Amoxicillin","Omez, Claritine","250mg, 100mg","50, 30"
Bronchitis,"Nausea, Sore throat, Joint pain, Rash","Ciprofloxacin, Metronidazole","Azithral, Flagyl","100mg, 5mg","150, 20"
Constipation,"Fatigue, Joint pain, Nausea, Rash","Ranitidine, Paracetamol","Augmentin, Alerid","1g, 5mg","50, 30"
Ear Infection,"Rash, Shortness of breath, Dizziness, Sore throat","Azithromycin, Cetirizine","Augmentin, Crocin","1g, 10mg","50, 20"
Gout,"Shortness of breath, Headache, Sweating, Dizziness","Ciprofloxacin, Amoxicillin","Augmentin, Claritine","5mg, 500mg","50, 20"
Alzheimer's,"Chest tightness, Fever, Dizziness, Pain","Cetirizine, Omeprazole","Brufen, Crocin","10mg, 100mg","100, 200"
Allergy,"Joint pain, Rash, Dizziness, Vomiting","Amoxicillin, Paracetamol","Brufen, Flagyl","200mg, 100mg","200, 100"
Anxiety,"Weight loss, Fever, Shortness of breath, Chest tightness","Paracetamol, Ciprofloxacin","Ciplox, Brufen","1g, 500mg","200, 50"
Common Cold,"Cough, Joint pain, Rash, Fever","Paracetamol, Cetirizine","Crocin, Zinetac","5mg, 100mg","150, 75"
Cholera,"Sweating, Itching, Dizziness, Shortness of breath","Cetirizine, Paracetamol","Ciplox, Alerid","200mg, 100mg","20, 150"
Cholera,"Itching, Joint pain, Weight loss, Nausea","Ciprofloxacin, Metronidazole","Flagyl, Claritine","5mg, 500mg","75, 150"
Epilepsy,"Chills, Chest tightness, Joint pain, Headache","Metronidazole, Paracetamol","Crocin, Claritine","250mg, 10mg","20, 150"
Common Cold,"Shortness of breath, Sweating, Fever, Rash","Metronidazole, Ciprofloxacin","Azithral, Alerid","250mg, 1g","100, 200"
Alzheimer's,"Weight loss, Itching, Pain, Fatigue","Metronidazole, Cetirizine","Alerid, Azithral","10mg, 5mg","30, 20"
COVID-19,"Vomiting, Sore throat, Chest tightness, Sweating","Ciprofloxacin, Ranitidine","Zinetac, Omez","1g, 5mg","75, 30"
COVID-19,"Chest tightness, Joint pain, Dizziness, Chills","Cetirizine, Ranitidine","Brufen, Claritine","5mg, 10mg","75, 150"
Dengue,"Shortness of breath, Sore throat, Dizziness, Chills","Ibuprofen, Ciprofloxacin","Ciplox, Crocin","5mg, 1g","75, 150"
Gout,"Chest tightness, Itching, Headache, Rash","Omeprazole, Ranitidine","Flagyl, Augmentin","200mg, 10mg","20, 30"
COVID-19,"Fatigue, Itching, Pain, Fever","Ciprofloxacin, Ranitidine","Flagyl, Ciplox","5mg, 100mg","100, 200"
Ear Infection,"Sweating, Shortness of breath, Vomiting, Sore throat","Ranitidine, Ibuprofen","Omez, Flagyl","500mg, 1g","75, 150"
Cholera,"Pain, Nausea, Itching, Vomiting","Azithromycin, Cetirizine","Flagyl, Augmentin","500mg, 1g","100, 150"
Gout,"Rash, Pain, Dizziness, Sore throat","Azithromycin, Loratadine","Alerid, Flagyl","500mg, 200mg","20, 75"
COVID-19,"Nausea, Joint pain, Vomiting, Rash","Omeprazole, Loratadine","Crocin, Zinetac","200mg, 100mg","30, 200"
Depression,"Cough, Weight loss, Sweating, Fatigue","Ciprofloxacin, Cetirizine","Alerid, Azithral","200mg, 10mg","30, 200"
Constipation,"Chest tightness, Chills, Joint pain, Dizziness","Ranitidine, Ibuprofen","Alerid, Flagyl","5mg, 200mg","50, 75"
Gastritis,"Sweating, Chest tightness, Nausea, Sore throat","Ranitidine, Paracetamol","Brufen, Crocin","250mg, 500mg","50, 200"
Depression,"Joint pain, Sweating, Chills, Itching","Azithromycin, Metronidazole","Omez, Augmentin","1g, 500mg","30, 200"
Anxiety,"Cough, Pain, Chest tightness, Nausea","Cetirizine, Ibuprofen","Ciplox, Omez","250mg, 200mg","50, 200"
Glaucoma,"Sweating, Fever, Pain, Joint pain","Metronidazole, Loratadine","Alerid, Azithral","5mg, 10mg","20, 200"
Glaucoma,"Sore throat, Headache, Fever, Fatigue","Loratadine, Ciprofloxacin","Azithral, Augmentin","200mg, 100mg","30, 100"
Common Cold,"Rash, Sore throat, Itching, Vomiting","Ibuprofen, Azithromycin","Zinetac, Brufen","100mg, 250mg","30, 75"
Acne,"Fatigue, Itching, Pain, Fever","Cetirizine, Ranitidine","Omez, Ciplox","5mg, 1g","20, 150"
Insomnia,"Shortness of breath, Rash, Sore throat, Pain","Omeprazole, Paracetamol","Azithral, Claritine","1g, 200mg","20, 150"
Diarrhea,"Itching, Sore throat, Headache, Joint pain","Metronidazole, Paracetamol","Alerid, Crocin","10mg, 200mg","200, 20"
Constipation,"Headache, Fatigue, Vomiting, Joint pain","Paracetamol, Loratadine","Brufen, Alerid","1g, 5mg","30, 20"
Diarrhea,"Chills, Cough, Fever, Chest tightness","Azithromycin, Omeprazole","Augmentin, Brufen","100mg, 1g","150, 200"
Allergy,"Chest tightness, Sore throat, Sweating, Joint pain","Cetirizine, Amoxicillin","Brufen, Crocin","5mg, 200mg","20, 100"
Alzheimer's,"Chills, Cough, Vomiting, Itching","Omeprazole, Ibuprofen","Flagyl, Azithral","500mg, 100mg","30, 100"
Dengue,"Chest tightness, Sweating, Sore throat, Dizziness","Amoxicillin, Ciprofloxacin","Crocin, Claritine","100mg, 1g","30, 50"
Diarrhea,"Vomiting, Fever, Weight loss, Nausea","Ranitidine, Azithromycin","Claritine, Azithral","500mg, 200mg","50, 150"
Hepatitis,"Cough, Fatigue, Joint pain, Dizziness","Metronidazole, Loratadine","Omez, Claritine","200mg, 500mg","30, 150"
Acne,"Fatigue, Cough, Rash, Sweating","Amoxicillin, Ciprofloxacin","Flagyl, Augmentin","5mg, 500mg","150, 20"
Constipation,"Dizziness, Sore throat, Weight loss, Nausea","Ciprofloxacin, Azithromycin","Brufen, Alerid","200mg, 100mg","100, 75"
Gout,"Shortness of breath, Joint pain, Sore throat, Sweating","Loratadine, Azithromycin","Azithral, Augmentin","10mg, 1g","200, 50"
HIV,"Chest tightness, Chills, Sore throat, Pain","Ciprofloxacin, Azithromycin","Crocin, Zinetac","10mg, 500mg","30, 200"
Chickenpox,"Shortness of breath, Vomiting, Joint pain, Fatigue","Azithromycin, Paracetamol","Alerid, Ciplox","250mg, 10mg","30, 150"
Dengue,"Dizziness, Fatigue, Chest tightness, Weight loss","Cetirizine, Amoxicillin","Brufen, Augmentin","500mg, 5mg","100, 30"
Alzheimer's,"Vomiting, Fever, Cough, Chills","Ranitidine, Metronidazole","Claritine, Azithral","10mg, 250mg","75, 100"
Allergy,"Headache, Dizziness, Sore throat, Nausea","Amoxicillin, Paracetamol","Alerid, Flagyl","10mg, 1g","200, 75"
Indigestion,"Chills, Joint pain, Headache, Rash","Amoxicillin, Cetirizine","Flagyl, Azithral","5mg, 1g","30, 50"
HIV,"Itching, Chills, Pain, Nausea","Ranitidine, Amoxicillin","Zinetac, Ciplox","10mg, 1g","75, 30"
Gastritis,"Pain, Fatigue, Chills, Joint pain","Cetirizine, Ibuprofen","Ciplox, Zinetac","500mg, 200mg","30, 150"
Glaucoma,"Rash, Shortness of breath, Headache, Nausea","Amoxicillin, Cetirizine","Augmentin, Azithral","100mg, 1g","30, 75"
Alzheimer's,"Chills, Vomiting, Pain, Weight loss","Ciprofloxacin, Omeprazole","Ciplox, Zinetac","1g, 250mg","20, 150"
Alzheimer's,"Sweating, Headache, Nausea, Itching","Ibuprofen, Azithromycin","Zinetac, Brufen","250mg, 1g","30, 75"
Eye Infection,"Sweating, Shortness of breath, Itching, Sore throat","Paracetamol, Ranitidine","Augmentin, Azithral","250mg, 500mg","30, 200"
Gastritis,"Itching, Dizziness, Sweating, Sore throat","Paracetamol, Loratadine","Omez, Flagyl","10mg, 250mg","200, 50"
Insomnia,"Joint pain, Dizziness, Nausea, Itching","Cetirizine, Ciprofloxacin","Claritine, Azithral","250mg, 1g","30, 100"
Depression,"Vomiting, Pain, Rash, Sweating","Azithromycin, Amoxicillin","Omez, Flagyl","250mg, 1g","200, 20"
HIV,"Vomiting, Rash, Weight loss, Chest tightness","Ibuprofen, Ciprofloxacin","Zinetac, Claritine","200mg, 500mg","30, 75"
Glaucoma,"Chills, Fatigue, Shortness of breath, Itching","Paracetamol, Ranitidine","Crocin, Alerid","200mg, 250mg","75, 50"
Constipation,"Chills, Sore throat, Sweating, Cough","Ibuprofen, Loratadine","Claritine, Augmentin","10mg, 5mg","100, 20"
COVID-19,"Fever, Chills, Nausea, Itching","Loratadine, Amoxicillin","Alerid, Azithral","100mg, 1g","30, 50"
Gastritis,"Headache, Cough, Pain, Fever","Cetirizine, Ranitidine","Omez, Alerid","250mg, 200mg","75, 100"
Depression,"Chills, Fatigue, Shortness of breath, Sweating","Omeprazole, Metronidazole","Alerid, Ciplox","250mg, 10mg","75, 30"
Depression,"Itching, Chest tightness, Fatigue, Sweating","Omeprazole, Azithromycin","Augmentin, Claritine","100mg, 10mg","150, 200"
Anxiety,"Weight loss, Fever, Chest tightness, Rash","Azithromycin, Amoxicillin","Claritine, Ciplox","5mg, 200mg","150, 30"
Diarrhea,"Joint pain, Sore throat, Weight loss, Vomiting","Ibuprofen, Loratadine","Augmentin, Crocin","100mg, 10mg","75, 100"
Cholera,"Rash, Fatigue, Sweating, Chills","Ibuprofen, Amoxicillin","Augmentin, Crocin","10mg, 500mg","150, 100"
Gastritis,"Fever, Joint pain, Itching, Shortness of breath","Cetirizine, Loratadine","Ciplox, Brufen","5mg, 100mg","100, 150"
Back Pain,"Shortness of breath, Sore throat, Dizziness, Weight loss","Metronidazole, Loratadine","Ciplox, Claritine","10mg, 5mg","50, 200"
Allergy,"Itching, Cough, Chest tightness, Dizziness","Omeprazole, Cetirizine","Claritine, Ciplox","100mg, 10mg","30, 100"
Indigestion,"Fever, Sweating, Shortness of breath, Weight loss","Metronidazole, Ranitidine","Claritine, Omez","500mg, 200mg","30, 150"
Gout,"Nausea, Headache, Shortness of breath, Fatigue","Metronidazole, Ibuprofen","Azithral, Ciplox","250mg, 1g","200, 50"
Epilepsy,"Joint pain, Rash, Fatigue, Pain","Ranitidine, Paracetamol","Crocin, Omez","1g, 250mg","20, 100"
Indigestion,"Chest tightness, Chills, Joint pain, Fatigue","Loratadine, Cetirizine","Ciplox, Crocin","200mg, 500mg","200, 150"
Gastritis,"Fatigue, Itching, Pain, Cough","Azithromycin, Metronidazole","Flagyl, Brufen","250mg, 10mg","200, 50"
Flu,"Chills, Weight loss, Fever, Headache","Loratadine, Ranitidine","Azithral, Alerid","10mg, 100mg","150, 100"
Alzheimer's,"Nausea, Shortness of breath, Headache, Fever","Ranitidine, Paracetamol","Crocin, Augmentin","250mg, 5mg","75, 200"
Diarrhea,"Dizziness, Weight loss, Sweating, Fatigue","Amoxicillin, Loratadine","Zinetac, Crocin","200mg, 5mg","30, 150"
Chickenpox,"Shortness of breath, Joint pain, Pain, Cough","Loratadine, Paracetamol","Crocin, Claritine","10mg, 200mg","200, 30"
Bronchitis,"Weight loss, Sore throat, Shortness of breath, Nausea","Metronidazole, Ibuprofen","Augmentin, Crocin","5mg, 250mg","20, 150"
Chickenpox,"Shortness of breath, Rash, Cough, Joint pain","Cetirizine, Ciprofloxacin","Azithral, Alerid","500mg, 250mg","200, 75"
Hepatitis,"Weight loss, Headache, Chest tightness, Nausea","Ciprofloxacin, Omeprazole","Brufen, Augmentin","5mg, 500mg","150, 200"
Anxiety,"Joint pain, Cough, Sore throat, Rash","Omeprazole, Paracetamol","Omez, Zinetac","5mg, 200mg","100, 75"
Bronchitis,"Sore throat, Headache, Pain, Chills","Cetirizine, Ranitidine","Augmentin, Azithral","10mg, 200mg","20, 150"
Bronchitis,"Fatigue, Nausea, Cough, Joint pain","Amoxicillin, Metronidazole","Augmentin, Ciplox","5mg, 200mg","100, 50"
Flu,"Dizziness, Sore throat, Chills, Chest tightness","Amoxicillin, Paracetamol","Claritine, Brufen","250mg, 200mg","30, 50"
Hepatitis,"Fever, Headache, Itching, Shortness of breath","Cetirizine, Amoxicillin","Alerid, Omez","1g, 5mg","20, 75"
Dengue,"Fever, Headache, Shortness of breath, Pain","Ibuprofen, Omeprazole","Zinetac, Augmentin","200mg, 100mg","100, 50"
Acne,"Headache, Fatigue, Sore throat, Pain","Ciprofloxacin, Ranitidine","Brufen, Flagyl","5mg, 100mg","100, 200"
Ear Infection,"Pain, Headache, Fever, Sweating","Amoxicillin, Ranitidine","Augmentin, Crocin","5mg, 1g","200, 75"
Eye Infection,"Sweating, Weight loss, Fever, Pain","Ibuprofen, Amoxicillin","Claritine, Brufen","1g, 200mg","150, 50"
Constipation,"Chills, Rash, Fatigue, Nausea","Ibuprofen, Amoxicillin","Zinetac, Flagyl","100mg, 500mg","200, 30"
Insomnia,"Joint pain, Vomiting, Weight loss, Shortness of breath","Ibuprofen, Amoxicillin","Ciplox, Crocin","100mg, 5mg","50, 20"
Glaucoma,"Fever, Chills, Joint pain, Nausea","Ibuprofen, Loratadine","Augmentin, Azithral","200mg, 1g","50, 150"
Allergy,"Fatigue, Sweating, Pain, Shortness of breath","Metronidazole, Omeprazole","Ciplox, Zinetac","100mg, 200mg","150, 200"
HIV,"Itching, Fatigue, Fever, Dizziness","Amoxicillin, Omeprazole","Ciplox, Crocin","10mg, 200mg","30, 100"
Gout,"Itching, Fatigue, Weight loss, Shortness of breath","Ibuprofen, Loratadine","Crocin, Zinetac","250mg, 10mg","75, 20"
HIV,"Vomiting, Headache, Joint pain, Chills","Metronidazole, Ciprofloxacin","Brufen, Azithral","5mg, 500mg","200, 50"
Common Cold,"Fever, Weight loss, Sore throat, Shortness of breath","Ranitidine, Omeprazole","Brufen, Azithral","10mg, 500mg","50, 200"
Depression,"Joint pain, Sweating, Chills, Weight loss","Metronidazole, Loratadine","Claritine, Alerid","5mg, 1g","50, 100"
Flu,"Headache, Cough, Chest tightness, Vomiting","Paracetamol, Azithromycin","Alerid, Azithral","200mg, 500mg","200, 150"
Flu,"Weight loss, Vomiting, Headache, Chills","Ibuprofen, Azithromycin","Omez, Flagyl","5mg, 100mg","30, 20"
COVID-19,"Dizziness, Sweating, Chest tightness, Sore throat","Ranitidine, Omeprazole","Azithral, Alerid","500mg, 100mg","150, 20"
Gastritis,"Fever, Vomiting, Headache, Weight loss","Paracetamol, Cetirizine","Azithral, Zinetac","200mg, 5mg","75, 200"
Acne,"Fever, Cough, Rash, Fatigue","Ciprofloxacin, Metronidazole","Ciplox, Claritine","1g, 500mg","20, 50"
Eye Infection,"Nausea, Chest tightness, Vomiting, Itching","Ranitidine, Amoxicillin","Azithral, Brufen","200mg, 500mg","75, 20"
Ear Infection,"Itching, Fever, Cough, Pain","Ibuprofen, Ciprofloxacin","Augmentin, Ciplox","250mg, 10mg","100, 75"
COVID-19,"Nausea, Vomiting, Pain, Headache","Loratadine, Ibuprofen","Augmentin, Crocin","5mg, 200mg","20, 200"
COVID-19,"Fever, Chills, Pain, Chest tightness","Omeprazole, Cetirizine","Claritine, Augmentin","10mg, 200mg","200, 50"
Flu,"Sweating, Dizziness, Sore throat, Fever","Ibuprofen, Ciprofloxacin","Azithral, Augmentin","250mg, 10mg","20, 100"
Cholera,"Vomiting, Pain, Dizziness, Chills","Cetirizine, Ibuprofen","Azithral, Zinetac","1g, 5mg","50, 75"
Diarrhea,"Weight loss, Sweating, Rash, Itching","Paracetamol, Ranitidine","Azithral, Claritine","500mg, 100mg","30, 150"
Diarrhea,"Sore throat, Nausea, Cough, Fever","Amoxicillin, Loratadine","Omez, Azithral","250mg, 200mg","50, 75"
Constipation,"Chest tightness, Fever, Dizziness, Sweating","Amoxicillin, Paracetamol","Flagyl, Claritine","200mg, 1g","50, 30"
Insomnia,"Chills, Dizziness, Headache, Pain","Amoxicillin, Paracetamol","Flagyl, Augmentin","200mg, 1g","30, 75"
Flu,"Fever, Weight loss, Joint pain, Nausea","Paracetamol, Omeprazole","Ciplox, Crocin","100mg, 5mg","200, 50"
COVID-19,"Chest tightness, Headache, Vomiting, Sweating","Amoxicillin, Loratadine","Claritine, Brufen","1g, 10mg","75, 20"
Gastritis,"Rash, Fatigue, Nausea, Itching","Ibuprofen, Ranitidine","Augmentin, Alerid","5mg, 250mg","20, 50"
Common Cold,"Fatigue, Itching, Joint pain, Weight loss","Amoxicillin, Azithromycin","Augmentin, Flagyl","100mg, 250mg","100, 50"
Eye Infection,"Fatigue, Vomiting, Sore throat, Fever","Cetirizine, Metronidazole","Azithral, Crocin","250mg, 100mg","75, 100"
Common Cold,"Weight loss, Joint pain, Cough, Nausea","Loratadine, Cetirizine","Augmentin, Azithral","10mg, 250mg","50, 100"
